CD_MUN,CIDADE,UF,LAT,LON
1720499,São Valério,TO,-11.948674,-48.294488
1720655,Silvanópolis,TO,-11.087975,-48.180107
1720804,Sítio Novo do Tocantins,TO,-5.51363,-47.658024
1720853,Sucupira,TO,-11.972119,-48.967832
1720903,Taguatinga,TO,-12.436313,-46.499217
1720937,Taipas do Tocantins,TO,-12.154451,-46.996706
1720978,Talismã,TO,-12.807493,-49.068558
1721000,Palmas,TO,-10.151144,-48.24138
2100055,Açailândia,MA,-4.877891,-47.594813
2100105,Afonso Cunha,MA,-4.12797,-43.321805
2100154,Água Doce do Maranhão,MA,-2.833042,-42.057391
2100204,Alcântara,MA,-2.403957,-44.422983
2100303,Aldeias Altas,MA,-4.600576,-43.528707
2100402,Altamira do Maranhão,MA,-4.222254,-45.477809
2100436,Alto Alegre do Maranhão,MA,-4.243442,-44.372566
2100477,Alto Alegre do Pindaré,MA,-3.705959,-45.588315
2100501,Alto Parnaíba,MA,-9.148345,-45.956046
2100550,Amapá do Maranhão,MA,-1.675158,-46.091127
2100600,Amarante do Maranhão,MA,-5.584911,-46.560776
2100709,Anajatuba,MA,-3.294437,-44.622866
2100808,Anapurus,MA,-3.617571,-43.101155
2100832,Apicum-Açu,MA,-1.497218,-45.107216
2100873,Araguanã,MA,-2.948776,-45.612363
2100907,Araioses,MA,-2.929606,-41.940564
2100956,Arame,MA,-5.025552,-45.917178
2101004,Arari,MA,-3.415289,-44.821842
2101103,Axixá,MA,-2.839956,-44.042405
2101202,Bacabal,MA,-4.204102,-44.778855
2101251,Bacabeira,MA,-2.992443,-44.321938
2101301,Bacuri,MA,-1.701336,-45.135233
2101350,Bacurituba,MA,-2.709682,-44.721352
2101400,Balsas,MA,-8.775617,-46.035103
2101509,Barão de Grajaú,MA,-6.8158,-43.093112
2101608,Barra do Corda,MA,-5.510452,-45.237288
2101707,Barreirinhas,MA,-2.872279,-42.90496
2101731,Belágua,MA,-3.158166,-43.424535
2101772,Bela Vista do Maranhão,MA,-3.819498,-45.155573
2101806,Benedito Leite,MA,-7.187395,-44.664337
2101905,Bequimão,MA,-2.41715,-44.788391
2101939,Bernardo do Mearim,MA,-4.615416,-44.775134
2101970,Boa Vista do Gurupi,MA,-1.827868,-46.187753
2102002,Bom Jardim,MA,-3.718749,-45.679425
2102036,Bom Jesus das Selvas,MA,-4.50869,-46.664938
2102077,Bom Lugar,MA,-4.421606,-45.028212
2102101,Brejo,MA,-3.738081,-42.919007
2102150,Brejo de Areia,MA,-4.362078,-45.579378
2102200,Buriti,MA,-3.955721,-42.945168
2102309,Buriti Bravo,MA,-5.897486,-43.72776
2102325,Buriticupu,MA,-4.28481,-46.082909
2102358,Buritirana,MA,-5.602691,-47.103155
2102374,Cachoeira Grande,MA,-2.893967,-44.050111
2102408,Cajapió,MA,-2.911089,-44.691116
2102507,Cajari,MA,-3.333357,-45.053104
2102556,Campestre do Maranhão,MA,-6.230373,-47.227848
2102606,Cândido Mendes,MA,-1.613297,-45.733181
2102705,Cantanhede,MA,-3.695937,-44.354489
2102754,Capinzal do Norte,MA,-4.713344,-44.335672
2102804,Carolina,MA,-7.381268,-47.373681
2102903,Carutapera,MA,-1.282634,-46.043146
2103000,Caxias,MA,-5.060082,-43.31902
2103109,Cedral,MA,-1.95511,-44.976768
2103125,Central do Maranhão,MA,-2.201495,-44.974722
2103158,Centro do Guilherme,MA,-2.442603,-46.041544
2103174,Centro Novo do Maranhão,MA,-3.127532,-46.296075
2103208,Chapadinha,MA,-3.739301,-43.305542
2103257,Cidelândia,MA,-5.230265,-47.786617
2103307,Codó,MA,-4.538339,-43.958551
2103406,Coelho Neto,MA,-4.239155,-43.030636
2103505,Colinas,MA,-6.188399,-44.212884
2103554,Conceição do Lago-Açu,MA,-3.821699,-44.895217
2103604,Coroatá,MA,-4.186825,-44.162867
2103703,Cururupu,MA,-1.864418,-44.839614
2103752,Davinópolis,MA,-5.534075,-47.394279
2103802,Dom Pedro,MA,-5.041465,-44.435199
2103901,Duque Bacelar,MA,-4.128033,-42.960436
2104008,Esperantinópolis,MA,-4.927211,-44.70148
2104057,Estreito,MA,-6.68883,-47.429489
